[fno] training on 2000 samples (seed=3)
[fno] param count: 139,745
  epoch   0 | train 0.8736 | test 0.5490
  epoch  10 | train 0.0969 | test 0.1003
  epoch  20 | train 0.0591 | test 0.0645
  epoch  30 | train 0.0433 | test 0.0522
  epoch  40 | train 0.0375 | test 0.0458
  epoch  50 | train 0.0310 | test 0.0416
  epoch  60 | train 0.0284 | test 0.0406
  epoch  70 | train 0.0264 | test 0.0366
  epoch  80 | train 0.0251 | test 0.0364
  epoch  90 | train 0.0225 | test 0.0343
  epoch 100 | train 0.0201 | test 0.0320
  epoch 110 | train 0.0187 | test 0.0318
  epoch 120 | train 0.0187 | test 0.0313
  epoch 130 | train 0.0179 | test 0.0306
  epoch 140 | train 0.0176 | test 0.0298
  epoch 150 | train 0.0171 | test 0.0299
  epoch 160 | train 0.0166 | test 0.0291
  epoch 170 | train 0.0160 | test 0.0294
  epoch 180 | train 0.0159 | test 0.0290
  epoch 190 | train 0.0157 | test 0.0281
  epoch 200 | train 0.0144 | test 0.0274
  epoch 210 | train 0.0141 | test 0.0273
  epoch 220 | train 0.0140 | test 0.0272
  epoch 230 | train 0.0139 | test 0.0271
  epoch 240 | train 0.0137 | test 0.0269
  epoch 250 | train 0.0136 | test 0.0269
  epoch 260 | train 0.0135 | test 0.0266
  epoch 270 | train 0.0134 | test 0.0264
  epoch 280 | train 0.0132 | test 0.0262
  epoch 290 | train 0.0130 | test 0.0261
  epoch 300 | train 0.0125 | test 0.0258
  epoch 310 | train 0.0124 | test 0.0257
  epoch 320 | train 0.0124 | test 0.0257
  epoch 330 | train 0.0123 | test 0.0256
  epoch 340 | train 0.0122 | test 0.0255
  epoch 350 | train 0.0122 | test 0.0254
  epoch 360 | train 0.0121 | test 0.0254
  epoch 370 | train 0.0120 | test 0.0252
  epoch 380 | train 0.0120 | test 0.0253
  epoch 390 | train 0.0119 | test 0.0252
  epoch 400 | train 0.0117 | test 0.0251
  epoch 410 | train 0.0116 | test 0.0251
  epoch 420 | train 0.0116 | test 0.0250
  epoch 430 | train 0.0116 | test 0.0250
  epoch 440 | train 0.0115 | test 0.0249
  epoch 450 | train 0.0116 | test 0.0248
  epoch 460 | train 0.0115 | test 0.0248
  epoch 470 | train 0.0115 | test 0.0247
  epoch 480 | train 0.0114 | test 0.0247
  epoch 490 | train 0.0114 | test 0.0247
  done. final test rel-L2: 0.0247
  checkpoint: checkpoints/fno_N2000_seed3_final.eqx
