[fno] training on 1000 samples (seed=3)
[fno] param count: 139,745
  epoch   0 | train 0.9895 | test 0.9525
  epoch  10 | train 0.1730 | test 0.1737
  epoch  20 | train 0.0938 | test 0.1008
  epoch  30 | train 0.0669 | test 0.0824
  epoch  40 | train 0.0522 | test 0.0677
  epoch  50 | train 0.0433 | test 0.0609
  epoch  60 | train 0.0379 | test 0.0586
  epoch  70 | train 0.0352 | test 0.0546
  epoch  80 | train 0.0325 | test 0.0536
  epoch  90 | train 0.0288 | test 0.0514
  epoch 100 | train 0.0251 | test 0.0486
  epoch 110 | train 0.0234 | test 0.0478
  epoch 120 | train 0.0228 | test 0.0471
  epoch 130 | train 0.0219 | test 0.0474
  epoch 140 | train 0.0216 | test 0.0464
  epoch 150 | train 0.0207 | test 0.0456
  epoch 160 | train 0.0202 | test 0.0450
  epoch 170 | train 0.0196 | test 0.0450
  epoch 180 | train 0.0189 | test 0.0447
  epoch 190 | train 0.0181 | test 0.0438
  epoch 200 | train 0.0173 | test 0.0434
  epoch 210 | train 0.0167 | test 0.0431
  epoch 220 | train 0.0165 | test 0.0429
  epoch 230 | train 0.0166 | test 0.0429
  epoch 240 | train 0.0161 | test 0.0424
  epoch 250 | train 0.0161 | test 0.0424
  epoch 260 | train 0.0159 | test 0.0422
  epoch 270 | train 0.0157 | test 0.0424
  epoch 280 | train 0.0156 | test 0.0421
  epoch 290 | train 0.0151 | test 0.0421
  epoch 300 | train 0.0148 | test 0.0420
  epoch 310 | train 0.0145 | test 0.0417
  epoch 320 | train 0.0144 | test 0.0417
  epoch 330 | train 0.0143 | test 0.0416
  epoch 340 | train 0.0143 | test 0.0415
  epoch 350 | train 0.0142 | test 0.0412
  epoch 360 | train 0.0141 | test 0.0414
  epoch 370 | train 0.0140 | test 0.0412
  epoch 380 | train 0.0139 | test 0.0412
  epoch 390 | train 0.0137 | test 0.0410
  epoch 400 | train 0.0136 | test 0.0410
  epoch 410 | train 0.0135 | test 0.0410
  epoch 420 | train 0.0134 | test 0.0408
  epoch 430 | train 0.0133 | test 0.0410
  epoch 440 | train 0.0133 | test 0.0408
  epoch 450 | train 0.0133 | test 0.0408
  epoch 460 | train 0.0132 | test 0.0407
  epoch 470 | train 0.0132 | test 0.0406
  epoch 480 | train 0.0131 | test 0.0406
  epoch 490 | train 0.0131 | test 0.0406
  done. final test rel-L2: 0.0407
  checkpoint: checkpoints/fno_N1000_seed3_final.eqx
