[fno] training on 100 samples (seed=3)
[fno] param count: 139,745
  epoch   0 | train 1.0008 | test 1.0001
  epoch  10 | train 0.9502 | test 0.9384
  epoch  20 | train 0.5479 | test 0.5513
  epoch  30 | train 0.3676 | test 0.3949
  epoch  40 | train 0.2985 | test 0.3446
  epoch  50 | train 0.2469 | test 0.3137
  epoch  60 | train 0.2067 | test 0.2875
  epoch  70 | train 0.1719 | test 0.2666
  epoch  80 | train 0.1442 | test 0.2543
  epoch  90 | train 0.1220 | test 0.2467
  epoch 100 | train 0.1031 | test 0.2403
  epoch 110 | train 0.0949 | test 0.2377
  epoch 120 | train 0.0874 | test 0.2359
  epoch 130 | train 0.0811 | test 0.2341
  epoch 140 | train 0.0750 | test 0.2327
  epoch 150 | train 0.0704 | test 0.2319
  epoch 160 | train 0.0644 | test 0.2303
  epoch 170 | train 0.0604 | test 0.2293
  epoch 180 | train 0.0569 | test 0.2290
  epoch 190 | train 0.0529 | test 0.2284
  epoch 200 | train 0.0507 | test 0.2275
  epoch 210 | train 0.0483 | test 0.2272
  epoch 220 | train 0.0463 | test 0.2270
  epoch 230 | train 0.0456 | test 0.2268
  epoch 240 | train 0.0436 | test 0.2264
  epoch 250 | train 0.0427 | test 0.2264
  epoch 260 | train 0.0413 | test 0.2259
  epoch 270 | train 0.0407 | test 0.2256
  epoch 280 | train 0.0393 | test 0.2255
  epoch 290 | train 0.0376 | test 0.2251
  epoch 300 | train 0.0373 | test 0.2250
  epoch 310 | train 0.0364 | test 0.2250
  epoch 320 | train 0.0358 | test 0.2248
  epoch 330 | train 0.0356 | test 0.2249
  epoch 340 | train 0.0345 | test 0.2246
  epoch 350 | train 0.0346 | test 0.2245
  epoch 360 | train 0.0339 | test 0.2245
  epoch 370 | train 0.0334 | test 0.2244
  epoch 380 | train 0.0326 | test 0.2243
  epoch 390 | train 0.0327 | test 0.2243
  epoch 400 | train 0.0323 | test 0.2241
  epoch 410 | train 0.0307 | test 0.2241
  epoch 420 | train 0.0315 | test 0.2241
  epoch 430 | train 0.0311 | test 0.2240
  epoch 440 | train 0.0310 | test 0.2240
  epoch 450 | train 0.0304 | test 0.2239
  epoch 460 | train 0.0300 | test 0.2239
  epoch 470 | train 0.0305 | test 0.2238
  epoch 480 | train 0.0300 | test 0.2239
  epoch 490 | train 0.0297 | test 0.2238
  done. final test rel-L2: 0.2237
  checkpoint: checkpoints/fno_N100_seed3_final.eqx
