[unet] training on 2000 samples (seed=4)
[unet] param count: 149,641
  epoch   0 | train 0.5568 | test 0.3809
  epoch  10 | train 0.2001 | test 0.2026
  epoch  20 | train 0.1419 | test 0.1461
  epoch  30 | train 0.1185 | test 0.1337
  epoch  40 | train 0.1185 | test 0.1241
  epoch  50 | train 0.0980 | test 0.1365
  epoch  60 | train 0.0855 | test 0.1250
  epoch  70 | train 0.0905 | test 0.1187
  epoch  80 | train 0.0879 | test 0.1032
  epoch  90 | train 0.0808 | test 0.0985
  epoch 100 | train 0.0631 | test 0.0897
  epoch 110 | train 0.0581 | test 0.0872
  epoch 120 | train 0.0582 | test 0.0910
  epoch 130 | train 0.0555 | test 0.0933
  epoch 140 | train 0.0493 | test 0.0869
  epoch 150 | train 0.0504 | test 0.0909
  epoch 160 | train 0.0518 | test 0.0838
  epoch 170 | train 0.0561 | test 0.0846
  epoch 180 | train 0.0458 | test 0.0780
  epoch 190 | train 0.0473 | test 0.0797
  epoch 200 | train 0.0394 | test 0.0766
  epoch 210 | train 0.0348 | test 0.0756
  epoch 220 | train 0.0356 | test 0.0760
  epoch 230 | train 0.0354 | test 0.0758
  epoch 240 | train 0.0346 | test 0.0749
  epoch 250 | train 0.0351 | test 0.0747
  epoch 260 | train 0.0326 | test 0.0739
  epoch 270 | train 0.0310 | test 0.0733
  epoch 280 | train 0.0343 | test 0.0718
  epoch 290 | train 0.0321 | test 0.0726
  epoch 300 | train 0.0291 | test 0.0720
  epoch 310 | train 0.0267 | test 0.0702
  epoch 320 | train 0.0273 | test 0.0710
  epoch 330 | train 0.0270 | test 0.0707
  epoch 340 | train 0.0271 | test 0.0705
  epoch 350 | train 0.0259 | test 0.0692
  epoch 360 | train 0.0261 | test 0.0693
  epoch 370 | train 0.0254 | test 0.0698
  epoch 380 | train 0.0259 | test 0.0708
  epoch 390 | train 0.0253 | test 0.0704
  epoch 400 | train 0.0239 | test 0.0688
  epoch 410 | train 0.0233 | test 0.0683
  epoch 420 | train 0.0233 | test 0.0678
  epoch 430 | train 0.0231 | test 0.0678
  epoch 440 | train 0.0235 | test 0.0685
  epoch 450 | train 0.0231 | test 0.0682
  epoch 460 | train 0.0231 | test 0.0678
  epoch 470 | train 0.0226 | test 0.0677
  epoch 480 | train 0.0229 | test 0.0674
  epoch 490 | train 0.0222 | test 0.0679
  done. final test rel-L2: 0.0674
  checkpoint: checkpoints/unet_N2000_seed4_final.eqx
