[fno] training on 1500 samples (seed=1)
[fno] param count: 139,745
  epoch   0 | train 0.9686 | test 0.8069
  epoch  10 | train 0.1172 | test 0.1149
  epoch  20 | train 0.0638 | test 0.0700
  epoch  30 | train 0.0489 | test 0.0570
  epoch  40 | train 0.0391 | test 0.0496
  epoch  50 | train 0.0339 | test 0.0444
  epoch  60 | train 0.0307 | test 0.0428
  epoch  70 | train 0.0274 | test 0.0389
  epoch  80 | train 0.0247 | test 0.0372
  epoch  90 | train 0.0239 | test 0.0361
  epoch 100 | train 0.0203 | test 0.0339
  epoch 110 | train 0.0190 | test 0.0333
  epoch 120 | train 0.0185 | test 0.0327
  epoch 130 | train 0.0185 | test 0.0321
  epoch 140 | train 0.0175 | test 0.0317
  epoch 150 | train 0.0172 | test 0.0319
  epoch 160 | train 0.0165 | test 0.0306
  epoch 170 | train 0.0158 | test 0.0305
  epoch 180 | train 0.0160 | test 0.0300
  epoch 190 | train 0.0150 | test 0.0300
  epoch 200 | train 0.0141 | test 0.0290
  epoch 210 | train 0.0138 | test 0.0288
  epoch 220 | train 0.0137 | test 0.0287
  epoch 230 | train 0.0135 | test 0.0286
  epoch 240 | train 0.0134 | test 0.0283
  epoch 250 | train 0.0131 | test 0.0282
  epoch 260 | train 0.0131 | test 0.0281
  epoch 270 | train 0.0129 | test 0.0278
  epoch 280 | train 0.0130 | test 0.0278
  epoch 290 | train 0.0127 | test 0.0276
  epoch 300 | train 0.0123 | test 0.0273
  epoch 310 | train 0.0121 | test 0.0272
  epoch 320 | train 0.0120 | test 0.0272
  epoch 330 | train 0.0120 | test 0.0272
  epoch 340 | train 0.0119 | test 0.0270
  epoch 350 | train 0.0119 | test 0.0269
  epoch 360 | train 0.0118 | test 0.0269
  epoch 370 | train 0.0117 | test 0.0269
  epoch 380 | train 0.0116 | test 0.0268
  epoch 390 | train 0.0116 | test 0.0267
  epoch 400 | train 0.0114 | test 0.0266
  epoch 410 | train 0.0113 | test 0.0265
  epoch 420 | train 0.0113 | test 0.0264
  epoch 430 | train 0.0113 | test 0.0265
  epoch 440 | train 0.0112 | test 0.0264
  epoch 450 | train 0.0112 | test 0.0264
  epoch 460 | train 0.0112 | test 0.0263
  epoch 470 | train 0.0111 | test 0.0263
  epoch 480 | train 0.0111 | test 0.0262
  epoch 490 | train 0.0111 | test 0.0262
  done. final test rel-L2: 0.0262
  checkpoint: checkpoints/fno_N1500_seed1_final.eqx
