[fno] training on 1000 samples (seed=4)
[fno] param count: 139,745
  epoch   0 | train 0.9886 | test 0.9505
  epoch  10 | train 0.1827 | test 0.1823
  epoch  20 | train 0.0979 | test 0.1096
  epoch  30 | train 0.0672 | test 0.0806
  epoch  40 | train 0.0514 | test 0.0662
  epoch  50 | train 0.0438 | test 0.0595
  epoch  60 | train 0.0371 | test 0.0532
  epoch  70 | train 0.0329 | test 0.0517
  epoch  80 | train 0.0297 | test 0.0487
  epoch  90 | train 0.0272 | test 0.0468
  epoch 100 | train 0.0243 | test 0.0447
  epoch 110 | train 0.0222 | test 0.0442
  epoch 120 | train 0.0220 | test 0.0437
  epoch 130 | train 0.0208 | test 0.0429
  epoch 140 | train 0.0201 | test 0.0428
  epoch 150 | train 0.0202 | test 0.0426
  epoch 160 | train 0.0189 | test 0.0413
  epoch 170 | train 0.0179 | test 0.0411
  epoch 180 | train 0.0176 | test 0.0406
  epoch 190 | train 0.0176 | test 0.0404
  epoch 200 | train 0.0163 | test 0.0398
  epoch 210 | train 0.0158 | test 0.0394
  epoch 220 | train 0.0155 | test 0.0392
  epoch 230 | train 0.0155 | test 0.0391
  epoch 240 | train 0.0153 | test 0.0389
  epoch 250 | train 0.0150 | test 0.0388
  epoch 260 | train 0.0148 | test 0.0385
  epoch 270 | train 0.0145 | test 0.0383
  epoch 280 | train 0.0143 | test 0.0382
  epoch 290 | train 0.0144 | test 0.0379
  epoch 300 | train 0.0138 | test 0.0377
  epoch 310 | train 0.0135 | test 0.0377
  epoch 320 | train 0.0135 | test 0.0376
  epoch 330 | train 0.0134 | test 0.0374
  epoch 340 | train 0.0133 | test 0.0374
  epoch 350 | train 0.0133 | test 0.0373
  epoch 360 | train 0.0131 | test 0.0372
  epoch 370 | train 0.0130 | test 0.0371
  epoch 380 | train 0.0129 | test 0.0370
  epoch 390 | train 0.0129 | test 0.0371
  epoch 400 | train 0.0126 | test 0.0368
  epoch 410 | train 0.0126 | test 0.0367
  epoch 420 | train 0.0126 | test 0.0367
  epoch 430 | train 0.0125 | test 0.0367
  epoch 440 | train 0.0124 | test 0.0367
  epoch 450 | train 0.0124 | test 0.0367
  epoch 460 | train 0.0123 | test 0.0364
  epoch 470 | train 0.0123 | test 0.0365
  epoch 480 | train 0.0123 | test 0.0364
  epoch 490 | train 0.0122 | test 0.0364
  done. final test rel-L2: 0.0363
  checkpoint: checkpoints/fno_N1000_seed4_final.eqx
