[fno] training on 2000 samples (seed=1)
[fno] param count: 139,745
  epoch   0 | train 0.8956 | test 0.5826
  epoch  10 | train 0.0922 | test 0.0966
  epoch  20 | train 0.0531 | test 0.0610
  epoch  30 | train 0.0410 | test 0.0498
  epoch  40 | train 0.0347 | test 0.0432
  epoch  50 | train 0.0295 | test 0.0383
  epoch  60 | train 0.0268 | test 0.0353
  epoch  70 | train 0.0248 | test 0.0363
  epoch  80 | train 0.0221 | test 0.0326
  epoch  90 | train 0.0212 | test 0.0316
  epoch 100 | train 0.0181 | test 0.0295
  epoch 110 | train 0.0171 | test 0.0289
  epoch 120 | train 0.0166 | test 0.0281
  epoch 130 | train 0.0164 | test 0.0283
  epoch 140 | train 0.0163 | test 0.0281
  epoch 150 | train 0.0157 | test 0.0274
  epoch 160 | train 0.0151 | test 0.0274
  epoch 170 | train 0.0151 | test 0.0272
  epoch 180 | train 0.0147 | test 0.0268
  epoch 190 | train 0.0144 | test 0.0268
  epoch 200 | train 0.0133 | test 0.0255
  epoch 210 | train 0.0129 | test 0.0256
  epoch 220 | train 0.0128 | test 0.0251
  epoch 230 | train 0.0127 | test 0.0252
  epoch 240 | train 0.0127 | test 0.0251
  epoch 250 | train 0.0123 | test 0.0248
  epoch 260 | train 0.0123 | test 0.0247
  epoch 270 | train 0.0123 | test 0.0249
  epoch 280 | train 0.0121 | test 0.0243
  epoch 290 | train 0.0120 | test 0.0246
  epoch 300 | train 0.0115 | test 0.0241
  epoch 310 | train 0.0114 | test 0.0240
  epoch 320 | train 0.0113 | test 0.0240
  epoch 330 | train 0.0113 | test 0.0239
  epoch 340 | train 0.0113 | test 0.0239
  epoch 350 | train 0.0111 | test 0.0237
  epoch 360 | train 0.0111 | test 0.0237
  epoch 370 | train 0.0111 | test 0.0237
  epoch 380 | train 0.0111 | test 0.0237
  epoch 390 | train 0.0110 | test 0.0236
  epoch 400 | train 0.0108 | test 0.0234
  epoch 410 | train 0.0107 | test 0.0233
  epoch 420 | train 0.0107 | test 0.0233
  epoch 430 | train 0.0107 | test 0.0233
  epoch 440 | train 0.0106 | test 0.0233
  epoch 450 | train 0.0106 | test 0.0232
  epoch 460 | train 0.0106 | test 0.0232
  epoch 470 | train 0.0106 | test 0.0232
  epoch 480 | train 0.0105 | test 0.0231
  epoch 490 | train 0.0105 | test 0.0232
  done. final test rel-L2: 0.0231
  checkpoint: checkpoints/fno_N2000_seed1_final.eqx
