[unet] training on 500 samples (seed=2)
[unet] param count: 149,641
  epoch   0 | train 0.8630 | test 0.7271
  epoch  10 | train 0.3033 | test 0.3147
  epoch  20 | train 0.2380 | test 0.2713
  epoch  30 | train 0.1863 | test 0.2464
  epoch  40 | train 0.1651 | test 0.2426
  epoch  50 | train 0.1645 | test 0.2301
  epoch  60 | train 0.1693 | test 0.2371
  epoch  70 | train 0.1191 | test 0.2111
  epoch  80 | train 0.1113 | test 0.2094
  epoch  90 | train 0.1155 | test 0.2047
  epoch 100 | train 0.0905 | test 0.2055
  epoch 110 | train 0.0707 | test 0.2026
  epoch 120 | train 0.0742 | test 0.2003
  epoch 130 | train 0.0686 | test 0.1990
  epoch 140 | train 0.0737 | test 0.1991
  epoch 150 | train 0.0664 | test 0.1986
  epoch 160 | train 0.0656 | test 0.1999
  epoch 170 | train 0.0658 | test 0.2040
  epoch 180 | train 0.0581 | test 0.2011
  epoch 190 | train 0.0588 | test 0.1985
  epoch 200 | train 0.0519 | test 0.1972
  epoch 210 | train 0.0449 | test 0.1975
  epoch 220 | train 0.0459 | test 0.1987
  epoch 230 | train 0.0435 | test 0.1973
  epoch 240 | train 0.0507 | test 0.2000
  epoch 250 | train 0.0420 | test 0.1974
  epoch 260 | train 0.0425 | test 0.1979
  epoch 270 | train 0.0420 | test 0.1962
  epoch 280 | train 0.0420 | test 0.1973
  epoch 290 | train 0.0435 | test 0.1972
  epoch 300 | train 0.0391 | test 0.1969
  epoch 310 | train 0.0347 | test 0.1968
  epoch 320 | train 0.0345 | test 0.1972
  epoch 330 | train 0.0338 | test 0.1969
  epoch 340 | train 0.0340 | test 0.1971
  epoch 350 | train 0.0337 | test 0.1975
  epoch 360 | train 0.0346 | test 0.1967
  epoch 370 | train 0.0348 | test 0.1972
  epoch 380 | train 0.0326 | test 0.1966
  epoch 390 | train 0.0333 | test 0.1971
  epoch 400 | train 0.0318 | test 0.1970
  epoch 410 | train 0.0304 | test 0.1970
  epoch 420 | train 0.0303 | test 0.1973
  epoch 430 | train 0.0298 | test 0.1969
  epoch 440 | train 0.0300 | test 0.1970
  epoch 450 | train 0.0299 | test 0.1971
  epoch 460 | train 0.0295 | test 0.1972
  epoch 470 | train 0.0295 | test 0.1971
  epoch 480 | train 0.0290 | test 0.1973
  epoch 490 | train 0.0294 | test 0.1973
  done. final test rel-L2: 0.1972
  checkpoint: checkpoints/unet_N500_seed2_final.eqx
