[unet] training on 250 samples (seed=1)
[unet] param count: 149,641
  epoch   0 | train 0.8842 | test 0.8111
  epoch  10 | train 0.3907 | test 0.3935
  epoch  20 | train 0.2909 | test 0.3351
  epoch  30 | train 0.2563 | test 0.3177
  epoch  40 | train 0.2057 | test 0.3106
  epoch  50 | train 0.1994 | test 0.3131
  epoch  60 | train 0.2051 | test 0.3137
  epoch  70 | train 0.1537 | test 0.2990
  epoch  80 | train 0.1352 | test 0.3039
  epoch  90 | train 0.1249 | test 0.3051
  epoch 100 | train 0.1023 | test 0.3003
  epoch 110 | train 0.0881 | test 0.2971
  epoch 120 | train 0.0813 | test 0.3040
  epoch 130 | train 0.0803 | test 0.2999
  epoch 140 | train 0.0898 | test 0.3003
  epoch 150 | train 0.0874 | test 0.3032
  epoch 160 | train 0.0755 | test 0.3048
  epoch 170 | train 0.0676 | test 0.3020
  epoch 180 | train 0.0652 | test 0.3043
  epoch 190 | train 0.0731 | test 0.3071
  epoch 200 | train 0.0595 | test 0.2973
  epoch 210 | train 0.0510 | test 0.3011
  epoch 220 | train 0.0496 | test 0.3000
  epoch 230 | train 0.0477 | test 0.2998
  epoch 240 | train 0.0475 | test 0.3002
  epoch 250 | train 0.0467 | test 0.2994
  epoch 260 | train 0.0460 | test 0.3008
  epoch 270 | train 0.0481 | test 0.3021
  epoch 280 | train 0.0449 | test 0.3021
  epoch 290 | train 0.0496 | test 0.3046
  epoch 300 | train 0.0432 | test 0.3008
  epoch 310 | train 0.0402 | test 0.3012
  epoch 320 | train 0.0393 | test 0.3006
  epoch 330 | train 0.0383 | test 0.3003
  epoch 340 | train 0.0382 | test 0.3004
  epoch 350 | train 0.0377 | test 0.3014
  epoch 360 | train 0.0385 | test 0.3011
  epoch 370 | train 0.0368 | test 0.3016
  epoch 380 | train 0.0374 | test 0.3027
  epoch 390 | train 0.0367 | test 0.3013
  epoch 400 | train 0.0348 | test 0.3016
  epoch 410 | train 0.0345 | test 0.3017
  epoch 420 | train 0.0339 | test 0.3020
  epoch 430 | train 0.0339 | test 0.3020
  epoch 440 | train 0.0341 | test 0.3023
  epoch 450 | train 0.0343 | test 0.3025
  epoch 460 | train 0.0333 | test 0.3024
  epoch 470 | train 0.0325 | test 0.3026
  epoch 480 | train 0.0331 | test 0.3028
  epoch 490 | train 0.0324 | test 0.3028
  done. final test rel-L2: 0.3029
  checkpoint: checkpoints/unet_N250_seed1_final.eqx
