[fno] training on 250 samples (seed=0)
[fno] param count: 139,745
  epoch   0 | train 0.9993 | test 0.9984
  epoch  10 | train 0.5188 | test 0.5128
  epoch  20 | train 0.2967 | test 0.3170
  epoch  30 | train 0.2312 | test 0.2551
  epoch  40 | train 0.1786 | test 0.2103
  epoch  50 | train 0.1399 | test 0.1804
  epoch  60 | train 0.1145 | test 0.1628
  epoch  70 | train 0.0972 | test 0.1533
  epoch  80 | train 0.0822 | test 0.1419
  epoch  90 | train 0.0736 | test 0.1365
  epoch 100 | train 0.0633 | test 0.1318
  epoch 110 | train 0.0583 | test 0.1296
  epoch 120 | train 0.0548 | test 0.1278
  epoch 130 | train 0.0512 | test 0.1265
  epoch 140 | train 0.0487 | test 0.1250
  epoch 150 | train 0.0468 | test 0.1243
  epoch 160 | train 0.0436 | test 0.1229
  epoch 170 | train 0.0404 | test 0.1218
  epoch 180 | train 0.0394 | test 0.1213
  epoch 190 | train 0.0387 | test 0.1202
  epoch 200 | train 0.0358 | test 0.1197
  epoch 210 | train 0.0347 | test 0.1194
  epoch 220 | train 0.0336 | test 0.1193
  epoch 230 | train 0.0330 | test 0.1190
  epoch 240 | train 0.0329 | test 0.1186
  epoch 250 | train 0.0312 | test 0.1183
  epoch 260 | train 0.0314 | test 0.1179
  epoch 270 | train 0.0304 | test 0.1177
  epoch 280 | train 0.0299 | test 0.1176
  epoch 290 | train 0.0291 | test 0.1173
  epoch 300 | train 0.0283 | test 0.1171
  epoch 310 | train 0.0283 | test 0.1169
  epoch 320 | train 0.0280 | test 0.1168
  epoch 330 | train 0.0273 | test 0.1167
  epoch 340 | train 0.0271 | test 0.1165
  epoch 350 | train 0.0269 | test 0.1165
  epoch 360 | train 0.0268 | test 0.1164
  epoch 370 | train 0.0263 | test 0.1162
  epoch 380 | train 0.0255 | test 0.1162
  epoch 390 | train 0.0258 | test 0.1160
  epoch 400 | train 0.0254 | test 0.1159
  epoch 410 | train 0.0253 | test 0.1159
  epoch 420 | train 0.0252 | test 0.1158
  epoch 430 | train 0.0250 | test 0.1157
  epoch 440 | train 0.0247 | test 0.1157
  epoch 450 | train 0.0248 | test 0.1156
  epoch 460 | train 0.0246 | test 0.1156
  epoch 470 | train 0.0243 | test 0.1156
  epoch 480 | train 0.0243 | test 0.1155
  epoch 490 | train 0.0241 | test 0.1155
  done. final test rel-L2: 0.1154
  checkpoint: checkpoints/fno_N250_seed0_final.eqx
