[fno] training on 1000 samples (seed=1)
[fno] param count: 139,745
  epoch   0 | train 0.9943 | test 0.9715
  epoch  10 | train 0.1757 | test 0.1725
  epoch  20 | train 0.0879 | test 0.0970
  epoch  30 | train 0.0601 | test 0.0735
  epoch  40 | train 0.0496 | test 0.0633
  epoch  50 | train 0.0428 | test 0.0578
  epoch  60 | train 0.0368 | test 0.0541
  epoch  70 | train 0.0331 | test 0.0512
  epoch  80 | train 0.0305 | test 0.0489
  epoch  90 | train 0.0270 | test 0.0459
  epoch 100 | train 0.0237 | test 0.0442
  epoch 110 | train 0.0222 | test 0.0432
  epoch 120 | train 0.0215 | test 0.0427
  epoch 130 | train 0.0213 | test 0.0424
  epoch 140 | train 0.0203 | test 0.0415
  epoch 150 | train 0.0195 | test 0.0413
  epoch 160 | train 0.0190 | test 0.0413
  epoch 170 | train 0.0188 | test 0.0402
  epoch 180 | train 0.0177 | test 0.0399
  epoch 190 | train 0.0174 | test 0.0397
  epoch 200 | train 0.0162 | test 0.0391
  epoch 210 | train 0.0158 | test 0.0390
  epoch 220 | train 0.0156 | test 0.0388
  epoch 230 | train 0.0154 | test 0.0385
  epoch 240 | train 0.0152 | test 0.0383
  epoch 250 | train 0.0152 | test 0.0382
  epoch 260 | train 0.0148 | test 0.0379
  epoch 270 | train 0.0147 | test 0.0379
  epoch 280 | train 0.0145 | test 0.0375
  epoch 290 | train 0.0143 | test 0.0376
  epoch 300 | train 0.0138 | test 0.0373
  epoch 310 | train 0.0136 | test 0.0372
  epoch 320 | train 0.0135 | test 0.0371
  epoch 330 | train 0.0135 | test 0.0371
  epoch 340 | train 0.0133 | test 0.0370
  epoch 350 | train 0.0133 | test 0.0369
  epoch 360 | train 0.0132 | test 0.0368
  epoch 370 | train 0.0131 | test 0.0367
  epoch 380 | train 0.0130 | test 0.0366
  epoch 390 | train 0.0129 | test 0.0366
  epoch 400 | train 0.0127 | test 0.0364
  epoch 410 | train 0.0127 | test 0.0365
  epoch 420 | train 0.0126 | test 0.0364
  epoch 430 | train 0.0125 | test 0.0364
  epoch 440 | train 0.0125 | test 0.0363
  epoch 450 | train 0.0124 | test 0.0363
  epoch 460 | train 0.0124 | test 0.0362
  epoch 470 | train 0.0124 | test 0.0361
  epoch 480 | train 0.0124 | test 0.0361
  epoch 490 | train 0.0123 | test 0.0361
  done. final test rel-L2: 0.0360
  checkpoint: checkpoints/fno_N1000_seed1_final.eqx
