[unet] training on 1000 samples (seed=0)
[unet] param count: 149,641
  epoch   0 | train 0.6369 | test 0.4884
  epoch  10 | train 0.2591 | test 0.2760
  epoch  20 | train 0.1934 | test 0.2088
  epoch  30 | train 0.1629 | test 0.2035
  epoch  40 | train 0.1356 | test 0.1670
  epoch  50 | train 0.1199 | test 0.1658
  epoch  60 | train 0.1243 | test 0.1582
  epoch  70 | train 0.0989 | test 0.1471
  epoch  80 | train 0.1019 | test 0.1660
  epoch  90 | train 0.0868 | test 0.1411
  epoch 100 | train 0.0774 | test 0.1349
  epoch 110 | train 0.0620 | test 0.1354
  epoch 120 | train 0.0605 | test 0.1323
  epoch 130 | train 0.0660 | test 0.1358
  epoch 140 | train 0.0605 | test 0.1326
  epoch 150 | train 0.0593 | test 0.1292
  epoch 160 | train 0.0579 | test 0.1335
  epoch 170 | train 0.0535 | test 0.1336
  epoch 180 | train 0.0550 | test 0.1392
  epoch 190 | train 0.0495 | test 0.1318
  epoch 200 | train 0.0458 | test 0.1281
  epoch 210 | train 0.0394 | test 0.1269
  epoch 220 | train 0.0380 | test 0.1274
  epoch 230 | train 0.0372 | test 0.1274
  epoch 240 | train 0.0411 | test 0.1296
  epoch 250 | train 0.0390 | test 0.1283
  epoch 260 | train 0.0390 | test 0.1284
  epoch 270 | train 0.0407 | test 0.1292
  epoch 280 | train 0.0410 | test 0.1294
  epoch 290 | train 0.0380 | test 0.1279
  epoch 300 | train 0.0351 | test 0.1260
  epoch 310 | train 0.0299 | test 0.1269
  epoch 320 | train 0.0300 | test 0.1274
  epoch 330 | train 0.0306 | test 0.1279
  epoch 340 | train 0.0310 | test 0.1263
  epoch 350 | train 0.0302 | test 0.1270
  epoch 360 | train 0.0302 | test 0.1274
  epoch 370 | train 0.0294 | test 0.1276
  epoch 380 | train 0.0296 | test 0.1273
  epoch 390 | train 0.0290 | test 0.1277
  epoch 400 | train 0.0274 | test 0.1270
  epoch 410 | train 0.0262 | test 0.1271
  epoch 420 | train 0.0261 | test 0.1270
  epoch 430 | train 0.0260 | test 0.1271
  epoch 440 | train 0.0261 | test 0.1273
  epoch 450 | train 0.0258 | test 0.1272
  epoch 460 | train 0.0260 | test 0.1271
  epoch 470 | train 0.0255 | test 0.1271
  epoch 480 | train 0.0255 | test 0.1275
  epoch 490 | train 0.0253 | test 0.1276
  done. final test rel-L2: 0.1274
  checkpoint: checkpoints/unet_N1000_seed0_final.eqx
