[fno] training on 500 samples (seed=1)
[fno] param count: 139,745
  epoch   0 | train 0.9995 | test 0.9970
  epoch  10 | train 0.2849 | test 0.2875
  epoch  20 | train 0.1784 | test 0.1907
  epoch  30 | train 0.1185 | test 0.1397
  epoch  40 | train 0.0872 | test 0.1131
  epoch  50 | train 0.0685 | test 0.0997
  epoch  60 | train 0.0585 | test 0.0931
  epoch  70 | train 0.0493 | test 0.0848
  epoch  80 | train 0.0442 | test 0.0817
  epoch  90 | train 0.0399 | test 0.0802
  epoch 100 | train 0.0350 | test 0.0768
  epoch 110 | train 0.0327 | test 0.0753
  epoch 120 | train 0.0309 | test 0.0744
  epoch 130 | train 0.0293 | test 0.0738
  epoch 140 | train 0.0290 | test 0.0731
  epoch 150 | train 0.0271 | test 0.0726
  epoch 160 | train 0.0262 | test 0.0716
  epoch 170 | train 0.0252 | test 0.0707
  epoch 180 | train 0.0246 | test 0.0702
  epoch 190 | train 0.0234 | test 0.0698
  epoch 200 | train 0.0224 | test 0.0692
  epoch 210 | train 0.0215 | test 0.0690
  epoch 220 | train 0.0211 | test 0.0685
  epoch 230 | train 0.0208 | test 0.0682
  epoch 240 | train 0.0205 | test 0.0682
  epoch 250 | train 0.0201 | test 0.0677
  epoch 260 | train 0.0197 | test 0.0674
  epoch 270 | train 0.0196 | test 0.0670
  epoch 280 | train 0.0190 | test 0.0670
  epoch 290 | train 0.0187 | test 0.0667
  epoch 300 | train 0.0183 | test 0.0665
  epoch 310 | train 0.0181 | test 0.0663
  epoch 320 | train 0.0179 | test 0.0663
  epoch 330 | train 0.0177 | test 0.0660
  epoch 340 | train 0.0174 | test 0.0661
  epoch 350 | train 0.0175 | test 0.0659
  epoch 360 | train 0.0173 | test 0.0658
  epoch 370 | train 0.0170 | test 0.0656
  epoch 380 | train 0.0169 | test 0.0653
  epoch 390 | train 0.0169 | test 0.0655
  epoch 400 | train 0.0165 | test 0.0653
  epoch 410 | train 0.0165 | test 0.0652
  epoch 420 | train 0.0164 | test 0.0651
  epoch 430 | train 0.0163 | test 0.0650
  epoch 440 | train 0.0161 | test 0.0650
  epoch 450 | train 0.0162 | test 0.0648
  epoch 460 | train 0.0161 | test 0.0649
  epoch 470 | train 0.0161 | test 0.0648
  epoch 480 | train 0.0159 | test 0.0647
  epoch 490 | train 0.0160 | test 0.0647
  done. final test rel-L2: 0.0646
  checkpoint: checkpoints/fno_N500_seed1_final.eqx
