[fno] training on 2000 samples (seed=4)
[fno] param count: 139,745
  epoch   0 | train 0.8679 | test 0.5627
  epoch  10 | train 0.1089 | test 0.1095
  epoch  20 | train 0.0617 | test 0.0701
  epoch  30 | train 0.0450 | test 0.0512
  epoch  40 | train 0.0376 | test 0.0478
  epoch  50 | train 0.0320 | test 0.0400
  epoch  60 | train 0.0289 | test 0.0378
  epoch  70 | train 0.0263 | test 0.0359
  epoch  80 | train 0.0236 | test 0.0333
  epoch  90 | train 0.0230 | test 0.0330
  epoch 100 | train 0.0193 | test 0.0298
  epoch 110 | train 0.0182 | test 0.0290
  epoch 120 | train 0.0183 | test 0.0289
  epoch 130 | train 0.0174 | test 0.0278
  epoch 140 | train 0.0168 | test 0.0277
  epoch 150 | train 0.0160 | test 0.0271
  epoch 160 | train 0.0157 | test 0.0267
  epoch 170 | train 0.0155 | test 0.0264
  epoch 180 | train 0.0151 | test 0.0262
  epoch 190 | train 0.0151 | test 0.0263
  epoch 200 | train 0.0137 | test 0.0250
  epoch 210 | train 0.0135 | test 0.0247
  epoch 220 | train 0.0136 | test 0.0250
  epoch 230 | train 0.0133 | test 0.0245
  epoch 240 | train 0.0130 | test 0.0247
  epoch 250 | train 0.0130 | test 0.0244
  epoch 260 | train 0.0129 | test 0.0250
  epoch 270 | train 0.0126 | test 0.0241
  epoch 280 | train 0.0124 | test 0.0238
  epoch 290 | train 0.0123 | test 0.0237
  epoch 300 | train 0.0119 | test 0.0235
  epoch 310 | train 0.0118 | test 0.0236
  epoch 320 | train 0.0117 | test 0.0234
  epoch 330 | train 0.0117 | test 0.0233
  epoch 340 | train 0.0116 | test 0.0233
  epoch 350 | train 0.0115 | test 0.0231
  epoch 360 | train 0.0115 | test 0.0231
  epoch 370 | train 0.0115 | test 0.0231
  epoch 380 | train 0.0114 | test 0.0230
  epoch 390 | train 0.0112 | test 0.0230
  epoch 400 | train 0.0111 | test 0.0228
  epoch 410 | train 0.0110 | test 0.0228
  epoch 420 | train 0.0110 | test 0.0228
  epoch 430 | train 0.0110 | test 0.0226
  epoch 440 | train 0.0109 | test 0.0227
  epoch 450 | train 0.0109 | test 0.0226
  epoch 460 | train 0.0109 | test 0.0227
  epoch 470 | train 0.0108 | test 0.0226
  epoch 480 | train 0.0108 | test 0.0225
  epoch 490 | train 0.0108 | test 0.0225
  done. final test rel-L2: 0.0225
  checkpoint: checkpoints/fno_N2000_seed4_final.eqx
