[fno] training on 1500 samples (seed=4)
[fno] param count: 139,745
  epoch   0 | train 0.9500 | test 0.7366
  epoch  10 | train 0.1338 | test 0.1334
  epoch  20 | train 0.0719 | test 0.0796
  epoch  30 | train 0.0510 | test 0.0624
  epoch  40 | train 0.0415 | test 0.0540
  epoch  50 | train 0.0345 | test 0.0468
  epoch  60 | train 0.0305 | test 0.0439
  epoch  70 | train 0.0296 | test 0.0421
  epoch  80 | train 0.0255 | test 0.0385
  epoch  90 | train 0.0237 | test 0.0363
  epoch 100 | train 0.0210 | test 0.0357
  epoch 110 | train 0.0191 | test 0.0346
  epoch 120 | train 0.0188 | test 0.0349
  epoch 130 | train 0.0182 | test 0.0330
  epoch 140 | train 0.0173 | test 0.0325
  epoch 150 | train 0.0175 | test 0.0322
  epoch 160 | train 0.0166 | test 0.0316
  epoch 170 | train 0.0165 | test 0.0315
  epoch 180 | train 0.0158 | test 0.0310
  epoch 190 | train 0.0153 | test 0.0307
  epoch 200 | train 0.0143 | test 0.0301
  epoch 210 | train 0.0141 | test 0.0296
  epoch 220 | train 0.0139 | test 0.0296
  epoch 230 | train 0.0140 | test 0.0294
  epoch 240 | train 0.0137 | test 0.0293
  epoch 250 | train 0.0136 | test 0.0289
  epoch 260 | train 0.0133 | test 0.0288
  epoch 270 | train 0.0133 | test 0.0285
  epoch 280 | train 0.0133 | test 0.0284
  epoch 290 | train 0.0130 | test 0.0287
  epoch 300 | train 0.0125 | test 0.0279
  epoch 310 | train 0.0124 | test 0.0280
  epoch 320 | train 0.0123 | test 0.0278
  epoch 330 | train 0.0122 | test 0.0278
  epoch 340 | train 0.0122 | test 0.0277
  epoch 350 | train 0.0121 | test 0.0276
  epoch 360 | train 0.0120 | test 0.0275
  epoch 370 | train 0.0119 | test 0.0273
  epoch 380 | train 0.0119 | test 0.0273
  epoch 390 | train 0.0118 | test 0.0273
  epoch 400 | train 0.0116 | test 0.0272
  epoch 410 | train 0.0116 | test 0.0271
  epoch 420 | train 0.0115 | test 0.0270
  epoch 430 | train 0.0115 | test 0.0270
  epoch 440 | train 0.0114 | test 0.0269
  epoch 450 | train 0.0114 | test 0.0269
  epoch 460 | train 0.0114 | test 0.0268
  epoch 470 | train 0.0114 | test 0.0268
  epoch 480 | train 0.0113 | test 0.0268
  epoch 490 | train 0.0113 | test 0.0268
  done. final test rel-L2: 0.0266
  checkpoint: checkpoints/fno_N1500_seed4_final.eqx
