[unet] training on 100 samples (seed=3)
[unet] param count: 149,641
  epoch   0 | train 1.1964 | test 0.9666
  epoch  10 | train 0.4891 | test 0.5080
  epoch  20 | train 0.3571 | test 0.4018
  epoch  30 | train 0.2828 | test 0.3724
  epoch  40 | train 0.2316 | test 0.3851
  epoch  50 | train 0.2124 | test 0.3820
  epoch  60 | train 0.1781 | test 0.3917
  epoch  70 | train 0.1519 | test 0.3921
  epoch  80 | train 0.1377 | test 0.3898
  epoch  90 | train 0.1266 | test 0.3866
  epoch 100 | train 0.1071 | test 0.3847
  epoch 110 | train 0.0917 | test 0.3838
  epoch 120 | train 0.0833 | test 0.3856
  epoch 130 | train 0.0844 | test 0.3858
  epoch 140 | train 0.0755 | test 0.3880
  epoch 150 | train 0.0723 | test 0.3888
  epoch 160 | train 0.0750 | test 0.3859
  epoch 170 | train 0.0690 | test 0.3891
  epoch 180 | train 0.0661 | test 0.3871
  epoch 190 | train 0.0668 | test 0.3879
  epoch 200 | train 0.0663 | test 0.3850
  epoch 210 | train 0.0563 | test 0.3880
  epoch 220 | train 0.0503 | test 0.3864
  epoch 230 | train 0.0575 | test 0.3877
  epoch 240 | train 0.0562 | test 0.3868
  epoch 250 | train 0.0514 | test 0.3869
  epoch 260 | train 0.0514 | test 0.3859
  epoch 270 | train 0.0490 | test 0.3877
  epoch 280 | train 0.0461 | test 0.3886
  epoch 290 | train 0.0440 | test 0.3876
  epoch 300 | train 0.0448 | test 0.3886
  epoch 310 | train 0.0431 | test 0.3877
  epoch 320 | train 0.0425 | test 0.3879
  epoch 330 | train 0.0421 | test 0.3877
  epoch 340 | train 0.0418 | test 0.3877
  epoch 350 | train 0.0410 | test 0.3880
  epoch 360 | train 0.0405 | test 0.3880
  epoch 370 | train 0.0400 | test 0.3885
  epoch 380 | train 0.0395 | test 0.3884
  epoch 390 | train 0.0394 | test 0.3887
  epoch 400 | train 0.0390 | test 0.3887
  epoch 410 | train 0.0358 | test 0.3888
  epoch 420 | train 0.0383 | test 0.3887
  epoch 430 | train 0.0380 | test 0.3889
  epoch 440 | train 0.0380 | test 0.3888
  epoch 450 | train 0.0376 | test 0.3890
  epoch 460 | train 0.0370 | test 0.3890
  epoch 470 | train 0.0373 | test 0.3892
  epoch 480 | train 0.0370 | test 0.3890
  epoch 490 | train 0.0365 | test 0.3892
  done. final test rel-L2: 0.3893
  checkpoint: checkpoints/unet_N100_seed3_final.eqx
